=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.10.07 14:57:35 =~=~=~=~=~=~=~=~=~=~=~=
917, 0.18, -0.30, 0.08, -0.09, 0.03, 0.97
928, -0.01, -0.61, -0.04, -0.09, 0.03, 0.97
940, -0.01, -0.30, 0.02, -0.09, 0.04, 0.99
951, -0.01, 0.00, 0.08, -0.09, 0.04, 0.99
961, 0.24, -0.12, -0.04, -0.09, 0.03, 0.99
972, 0.36, -0.24, -0.23, -0.09, 0.03, 0.99
984, 0.24, -0.30, -0.29, -0.09, 0.04, 0.98
995, 0.12, -0.18, -0.23, -0.09, 0.03, 0.97
1005, -0.07, 0.55, 0.08, -0.09, 0.03, 0.97
1016, 0.30, 0.18, 0.02, -0.09, 0.04, 0.99
1028, 0.06, -0.18, -0.29, -0.09, 0.04, 0.99
1038, -0.25, 0.12, -0.17, -0.08, 0.03, 0.99
1049, -0.49, 0.31, -0.84, -0.08, 0.03, 0.99
1060, -0.01, -0.06, -0.90, -0.09, 0.04, 0.99
1072, -0.07, 0.06, -1.69, -0.09, 0.04, 0.99
1082, 0.12, -0.12, -3.71, -0.10, 0.05, 0.97
1093, 0.12, -0.24, -4.32, -0.10, 0.05, 0.97
1104, 0.12, -0.55, -3.95, -0.08, 0.02, 0.98
1116, -0.01, -0.18, -2.36, -0.09, 0.03, 0.97
1126, -0.19, -0.06, -1.08, -0.09, 0.03, 0.97
1137, -0.01, -0.06, -0.47, -0.08, 0.04, 1.00
1148, 0.06, -0.12, -0.04, -0.08, 0.04, 1.00
1160, 0.12, -0.24, -0.17, -0.09, 0.03, 0.97
1170, 0.48, -0.18, -0.10, -0.09, 0.03, 0.97
1181, 0.30, -0.18, -0.04, -0.10, 0.05, 1.01
1192, 0.36, -0.37, -1.81, -0.10, 0.05, 1.01
1203, -0.19, -0.49, -5.90, -0.12, 0.08, 0.99
1214, -0.19, -0.43, -10.66, -0.12, 0.08, 0.99
1225, 0.06, -0.73, -15.79, -0.11, 0.13, 0.99
1236, 0.06, -0.79, -19.03, -0.09, 0.07, 0.98
1247, -0.31, -0.49, -19.51, -0.09, 0.07, 0.98
1258, -0.19, -0.55, -18.48, -0.07, -0.03, 0.98
1269, -0.07, -0.18, -13.41, -0.07, -0.03, 0.98
1281, 0.48, -0.49, -11.27, -0.13, 0.10, 0.98
1291, 0.18, -1.10, -16.16, -0.13, 0.10, 0.98
1302, -0.43, -0.85, -19.88, -0.09, 0.03, 0.99
1313, -0.31, -0.98, -20.73, -0.09, 0.03, 0.99
1325, 0.18, -1.34, -23.36, -0.08, 0.08, 1.00
1335, -0.19, -1.04, -25.13, -0.08, 0.08, 1.00
1346, -0.49, -0.85, -24.27, -0.10, 0.04, 0.98
1357, -0.55, -1.22, -24.95, -0.11, 0.06, 0.99
1369, -0.13, -1.04, -26.72, -0.11, 0.06, 0.99
1379, -0.25, -1.22, -26.84, -0.09, 0.06, 0.99
1390, -0.31, -1.52, -27.94, -0.09, 0.06, 0.99
1401, -0.31, -1.77, -31.11, -0.09, 0.08, 0.98
1412, 0.06, -1.52, -33.61, -0.09, 0.08, 0.98
1423, -0.25, -1.59, -36.12, -0.11, 0.14, 0.97
1434, -0.68, -1.59, -39.72, -0.11, 0.14, 0.97
1445, -0.62, -1.95, -40.02, -0.07, 0.04, 1.01
1456, -0.62, -1.77, -41.00, -0.07, 0.04, 1.01
1467, -0.31, -2.07, -41.73, -0.10, 0.05, 0.98
1478, -0.13, -1.95, -44.36, -0.10, 0.10, 1.02
1489, -0.43, -2.14, -49.06, -0.10, 0.10, 1.02
1500, -1.04, -2.01, -50.52, -0.08, 0.07, 0.98
1511, -0.37, -1.77, -51.25, -0.08, 0.07, 0.98
1522, -0.62, -1.95, -50.64, -0.10, 0.06, 0.98
1533, -0.62, -1.71, -46.31, -0.10, 0.06, 0.98
1544, -0.43, -2.07, -38.68, -0.10, -0.06, 0.99
1555, -0.43, -1.65, -35.75, -0.10, -0.06, 0.99
1566, -0.13, -1.65, -35.51, -0.10, 0.05, 0.97
1576, -0.01, -1.34, -33.61, -0.10, 0.01, 0.97
1588, -0.31, -1.34, -32.33, -0.09, 0.01, 0.97
1599, -0.25, -1.04, -34.16, -0.10, 0.02, 0.97
1610, -0.25, -1.22, -35.57, -0.10, 0.02, 0.97
1620, -0.49, -1.52, -41.00, -0.13, 0.13, 1.01
1632, -0.74, -1.83, -47.65, -0.13, 0.13, 1.01
1643, -0.92, -2.56, -52.35, -0.08, 0.05, 0.98
1654, -0.49, -2.62, -53.88, -0.08, 0.05, 0.98
1665, -0.74, -2.38, -53.45, -0.07, 0.07, 1.00
1676, -0.92, -1.77, -52.60, -0.07, 0.07, 1.00
1687, -0.92, -2.07, -49.97, -0.05, 0.02, 0.98
1698, -0.25, -2.07, -47.71, -0.07, 0.02, 0.98
1709, -0.49, -2.38, -44.72, -0.07, 0.02, 0.98
1720, -0.31, -1.95, -42.10, -0.05, 0.02, 1.02
1731, -0.43, -1.83, -44.05, -0.05, 0.02, 1.02
1741, -0.43, -1.95, -49.73, -0.09, 0.06, 0.99
1753, -1.41, -2.07, -53.57, -0.09, 0.06, 0.99
1764, -0.55, -2.38, -54.61, -0.13, 0.06, 0.99
1775, -0.55, -2.38, -54.24, -0.13, 0.06, 0.99
1785, -0.68, -2.38, -53.88, -0.09, 0.08, 0.99
1797, -0.62, -2.44, -53.14, -0.09, 0.08, 0.99
1808, -0.62, -2.68, -56.07, -0.06, 0.05, 0.99
1819, -0.80, -2.75, -60.59, -0.07, 0.09, 1.00
1829, -0.43, -3.05, -68.53, -0.07, 0.09, 1.00
1841, -0.68, -3.42, -76.22, -0.01, 0.03, 0.99
